LETTER ANALYSIS
Letter  Freq  Freq%  AvgFreq% Diff 
   A    18    11.0     8.2     2.8
   B     4     2.5     1.5     1.0
   C     2     1.2     2.8    -1.6
   D     0     0.0     4.3    -4.3
   E     8     4.9    12.7    -7.8
   F     9     5.5     2.2     3.3
   G    10     6.1     2.0     4.1
   H     0     0.0     6.1    -6.1
   I     1     0.6     7.0    -6.4
   J     9     5.5     0.2     5.3
   K     6     3.7     0.8     2.9
   L    11     6.7     4.0     2.7
   M     3     1.8     2.4    -0.6
   N     4     2.5     6.7    -4.2
   O     3     1.8     7.5    -5.7
   P     0     0.0     1.9    -1.9
   Q    10     6.1     0.1     6.0
   R     3     1.8     6.0    -4.2
   S    14     8.6     6.3     2.3
   T    11     6.7     9.1    -2.4
   U     3     1.8     2.8    -1.0
   V     8     4.9     1.0     3.9
   W     8     4.9     2.4     2.5
   X    17    10.4     0.2    10.2
   Y     0     0.0     2.0    -2.0
   Z     1     0.6     0.1     0.5
The most frequent letter is S at 0.0%.

