LETTER ANALYSIS
Letter  Freq  Freq%  AvgFreq% Diff 
   A    10     2.3     8.2    -5.9
   B     0     0.0     1.5    -1.5
   C    15     3.4     2.8     0.6
   D    12     2.7     4.3    -1.6
   E     0     0.0    12.7   -12.7
   F    45    10.2     2.2     8.0
   G     5     1.1     2.0    -0.9
   H     7     1.6     6.1    -4.5
   I    14     3.2     7.0    -3.8
   J    37     8.4     0.2     8.2
   K    38     8.6     0.8     7.8
   L    28     6.4     4.0     2.4
   M     0     0.0     2.4    -2.4
   N    12     2.7     6.7    -4.0
   O     9     2.0     7.5    -5.5
   P    24     5.5     1.9     3.6
   Q    25     5.7     0.1     5.6
   R    20     4.5     6.0    -1.5
   S    18     4.1     6.3    -2.2
   T     2     0.5     9.1    -8.6
   U     1     0.2     2.8    -2.6
   V    19     4.3     1.0     3.3
   W    17     3.9     2.4     1.5
   X     5     1.1     0.2     0.9
   Y    73    16.6     2.0    14.6
   Z     4     0.9     0.1     0.8
The most frequent letter is Y at 0.0%.

